# Figura 6.17 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 6 — DeltaT [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
57166.29,-0.3349
57166.29,-0.0859
57394.73,-0.0859
57394.73,-0.1852
57394.72,-0.0370
57394.73,-0.1363
57394.72,0.0134
57631.04,0.0134
57631.04,-0.1866
57867.35,-0.4169
57867.35,0.0062
57867.35,-0.0931
58103.66,-0.0931
58103.66,-0.4227
58103.66,0.0033
58339.98,0.0033
58339.98,-0.1952
58339.98,-0.0456
58568.41,-0.0456
58568.41,-0.3737
58568.41,0.0407
58804.72,0.0407
58804.73,-0.1593
59041.04,-0.3881
59041.04,0.0307
59041.04,-0.0686
59277.35,-0.0686
59277.35,-0.1694
59277.35,-0.0183
59277.35,-0.3449
59513.66,-0.0888
59513.66,-0.1895
59513.66,-0.0384
59742.10,-0.0384
59742.10,-0.3651
59742.10,0.0494
59742.10,-0.0500
59978.41,-0.0500
59978.41,-0.1507
59978.41,0.0019
60214.72,0.0019
60214.73,-0.3248
60214.72,-0.0730
60214.72,-0.1737
60214.72,-0.0212
60451.04,-0.0212
60451.04,-0.3478
60451.04,-0.0888
60451.04,-0.1881
60451.04,-0.0370
60687.35,-0.0370
60687.35,-0.1363
60687.35,0.0177
60687.35,-0.0830
60915.79,-0.0830
60915.79,-0.4068
60915.79,-0.1305
61152.10,0.0234
61152.10,-0.1766
61388.41,-0.0240
61388.41,-0.3464
61388.41,-0.0859
61624.72,-0.0859
61624.72,-0.1866
61624.72,-0.0327
61624.72,-0.1320
61861.04,-0.3565
61861.04,-0.0917
61861.04,-0.1924
61861.04,-0.0384
62089.47,-0.0384
62089.47,-0.1377
62089.47,0.0148
62089.47,-0.0845
62325.79,-0.0845
62325.79,-0.4068
62325.79,0.0278
62325.79,-0.0715
62562.10,-0.0715
62562.10,-0.3939
62562.10,0.0379
62798.41,0.0379
62798.41,-0.1608
62798.41,-0.0053
63034.72,-0.0053
63034.73,-0.3262
63034.72,-0.0701
63263.16,-0.0701
63263.16,-0.1694
63263.16,-0.0140
63263.16,-0.1147
63499.47,-0.3349
63499.47,-0.0744
63499.47,-0.1737
63499.47,-0.0183
63735.79,-0.0183
63735.79,-0.1176
63735.79,0.0379
63735.79,-0.0629
63972.10,-0.0629
63972.10,-0.3809
63972.10,0.0508
64208.41,0.0508
64208.41,-0.3680
64436.85,-0.0960
64436.85,-0.1952
64436.85,-0.0399
64673.16,-0.0399
64673.16,-0.3579
64673.16,-0.0888
64673.16,-0.1881
64673.16,-0.0312
64909.47,-0.0312
64909.47,-0.1305
64909.47,0.0263
64909.47,-0.0730
65145.79,-0.0730
65145.79,-0.3910
65145.79,0.0479
65382.10,0.0479
65382.10,-0.1521
65610.53,-0.3680
65610.53,-0.0946
65610.53,-0.1938
65610.53,-0.0370
65846.85,-0.0370
65846.85,-0.3521
65846.85,-0.0830
65846.85,-0.1823
65846.85,-0.0255
66083.16,-0.0255
66083.16,-0.1248
66083.16,0.0335
66319.47,0.0335
66319.47,-0.3809
66555.79,-0.1018
66555.78,0.0566
66555.79,-0.0428
66784.22,-0.0428
66784.22,-0.3550
66784.22,-0.0830
66784.22,-0.1823
66784.22,-0.0240
67020.53,-0.0240
67020.53,-0.3377
67020.53,-0.0701
67020.53,-0.1694
67256.85,-0.0111
67256.85,-0.1119
67256.85,0.0479
67493.16,0.0479
67493.16,-0.1507
67729.47,-0.3637
67729.47,-0.0874
67729.47,-0.1866
67729.47,-0.0269
67957.91,-0.0269
67957.91,-0.3392
67957.91,-0.0686
67957.91,-0.1694
68194.22,-0.0096
68194.22,-0.3204
68194.22,-0.0571
68430.53,-0.0571
68430.53,-0.1565
68430.53,0.0033
68430.53,-0.0960
68666.85,-0.0960
68666.85,-0.1952
68666.85,-0.0356
68903.16,-0.0356
68903.16,-0.3449
68903.16,-0.0730
68903.16,-0.1737
68903.16,-0.0111
69131.59,-0.0111
69131.59,-0.3219
69131.59,-0.0557
69367.91,-0.0557
69367.91,-0.1565
69367.91,0.0048
69367.91,-0.0946
69604.22,-0.0946
69604.22,-0.4039
69604.22,0.0508
69840.53,0.0508
69840.53,-0.1493
69840.53,0.0134
70076.85,0.0134
70076.85,-0.0859
70305.28,-0.0859
70305.28,-0.3939
70305.28,0.0580
70305.28,-0.0413
70541.59,-0.0413
70541.59,-0.3493
70541.59,-0.0730
70777.91,-0.0730
70777.91,-0.1722
70777.91,-0.0096
70777.91,-0.1090
71014.22,-0.3162
71014.22,-0.0500
71014.22,-0.1507
71014.22,0.0119
71250.53,0.0119
71250.53,-0.3939
71478.97,-0.1018
71478.97,0.0623
71478.97,-0.0370
71715.28,-0.0370
71715.28,-0.3435
71715.28,-0.0672
71715.28,-0.1665
71715.28,-0.0039
71951.59,-0.0039
71951.59,-0.1032
71951.59,0.0609
72187.91,0.0609
72187.91,-0.3421
72424.22,-0.0658
72424.22,-0.1651
72424.22,-0.0010
72652.66,-0.0010
72652.66,-0.3047
72652.65,-0.0399
72652.66,-0.1406
72652.66,0.0249
72888.97,0.0249
72888.97,-0.0758
73125.28,-0.0758
73125.28,-0.3781
73125.28,-0.0888
73125.28,-0.1881
73125.28,-0.0240
73361.59,-0.0240
73361.59,-0.3262
73361.59,-0.0528
73597.91,-0.0528
73597.91,-0.1521
73597.91,0.0119
73597.91,-0.0874
73826.34,-0.0874
73826.34,-0.3881
73826.34,-0.0946
74062.65,-0.0946
74062.65,-0.1938
74062.66,-0.0284
74062.66,-0.3291
74298.97,-0.0543
74298.97,-0.1536
74298.97,0.0119
74535.28,0.0119
74535.28,-0.1866
74535.28,-0.0212
74771.59,-0.0212
74771.59,-0.3219
74771.59,-0.0471
75000.03,-0.0471
75000.03,-0.1478
75000.03,0.0191
75000.03,-0.0802
75236.34,-0.0802
75236.34,-0.3809
75236.34,-0.0859
75472.65,-0.0859
75472.65,-0.1866
75472.66,-0.0183
75472.65,-0.1176
75708.97,-0.3176
75708.97,-0.0428
75708.97,-0.1435
75708.97,0.0234
75945.28,0.0234
75945.28,-0.1766
76173.72,-0.3737
76173.72,-0.0816
76173.72,-0.1809
76173.72,-0.0140
76410.03,-0.0140
76410.03,-0.3119
76410.03,-0.0384
76410.03,-0.1377
76646.34,0.0292
76646.34,-0.0701
76882.65,-0.0701
76882.66,-0.3680
76882.65,-0.0758
77118.97,-0.0758
77118.97,-0.1751
77118.97,-0.0068
